"Class";"PathFile";"Attributes";"Methods";"LOC";"NOC";"fanOut";"WMC";"LCOM"
"MapsComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/maps/maps.component.ts";"0";"0";"9";"0";"0";"0";"0"
"TypographyComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/ui-features/typography/typography.component.ts";"0";"0";"8";"0";"0";"0";"0"
"UiFeaturesModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/ui-features/ui-features.module.ts";"0";"0";"18";"0";"0";"0";"0"
"TreeComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/components/tree/tree.component.ts";"1";"0";"31";"1";"0";"0";"0"
"TablesRoutingModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/tables/tables-routing.module.ts";"0";"0";"6";"0";"0";"0";"0"
"MapsModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/maps/maps.module.ts";"0";"0";"14";"0";"0";"0";"0"
"ChartsRoutingModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/charts/charts-routing.module.ts";"0";"0";"6";"0";"0";"0";"0"
"SmartTableComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/tables/smart-table/smart-table.component.ts";"3";"2";"69";"5";"1";"1";"0"
"PagesModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/pages.module.ts";"0";"0";"15";"0";"0";"0";"0"
"EchartsLineComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/charts/echarts/line/line.component.ts";"1";"0";"69";"1";"0";"0";"0"
"PagesRoutingModule";"/home/school/MGL843/repos/ngx-admin/src/app/pages/pages-routing.module.ts";"0";"0";"7";"0";"0";"0";"0"
"ChartJsBarComponent";"/home/school/MGL843/repos/ngx-admin/src/app/pages/charts/chart.js/bar/bar.component.ts";"5";"0";"63";"5";"0";"0";"0"
"TinyMCEComponent";"/home/school/MGL843/repos/ngx-admin/src/app/@theme/components/tiny-mce/tiny-mce.component.ts";"2";"3";"31";"5";"0";"1";"(1/2)"
"HeaderComponent";"/home/school/MGL843/repos/ngx-admin/src/app/@theme/components/header/header.component.ts";"1";"5";"59";"6";"0";"4";"(4/3)"
